iter	Passed	Remaining
526	574	515
527	575	514
528	577	513
529	578	512
530	579	511
531	580	510
532	581	509
533	582	508
534	583	507
535	584	506
536	585	505
537	587	504
538	588	503
539	589	502
540	590	501
541	591	500
542	592	498
543	593	497
544	594	496
545	596	495
546	597	494
547	598	493
548	599	492
549	600	491
550	601	490
551	602	489
552	603	488
553	605	487
554	606	486
555	607	485
556	608	484
557	609	482
558	610	481
559	611	480
560	612	479
561	614	478
562	615	477
563	616	476
564	617	475
565	618	474
566	619	473
567	620	472
568	621	471
569	623	470
570	624	468
571	625	467
572	626	466
573	627	465
574	628	464
575	629	463
576	630	462
577	631	461
578	632	460
579	634	459
580	635	458
581	636	457
582	637	456
583	638	455
584	639	453
585	641	452
586	642	451
587	643	450
588	644	449
589	645	448
590	646	447
591	647	446
592	648	445
593	649	444
594	651	443
595	651	441
596	653	441
597	654	439
598	655	438
599	656	437
600	657	436
601	658	435
602	660	434
603	661	433
604	662	432
605	663	431
606	664	430
607	665	429
608	666	428
609	667	426
610	669	425
611	670	424
612	671	423
613	672	422
614	673	421
615	674	420
616	675	419
617	676	418
618	678	417
619	679	416
620	680	415
621	681	414
622	682	413
623	683	412
624	684	410
625	686	409
626	687	408
627	688	407
628	689	406
629	691	405
630	692	404
631	693	403
632	694	402
633	695	401
634	696	400
635	697	399
636	698	398
637	699	397
638	701	396
639	702	395
640	703	393
641	704	392
642	705	391
643	706	390
644	707	389
645	708	388
646	709	387
647	710	386
648	712	385
649	713	383
650	714	382
651	715	381
652	716	380
653	717	379
654	718	378
655	719	377
656	720	376
657	722	375
658	723	374
659	724	373
660	725	372
661	727	371
662	728	370
663	729	369
664	730	368
665	731	367
666	732	365
667	734	364
668	735	363
669	736	362
670	737	361
671	738	360
672	739	359
673	740	358
674	742	357
675	743	356
676	744	355
677	745	353
678	746	352
679	747	351
680	748	350
681	749	349
682	750	348
683	751	347
684	753	346
685	754	345
686	755	344
687	756	343
688	757	342
689	758	340
690	760	339
691	761	338
692	762	337
693	763	336
694	764	335
695	765	334
696	766	333
697	767	332
698	768	330
699	769	329
700	770	328
701	771	327
702	773	326
703	774	325
704	775	324
705	776	323
706	777	322
707	778	321
708	779	320
709	780	318
710	782	317
711	783	316
712	784	315
713	785	314
714	786	313
715	787	312
716	788	311
717	789	310
718	790	308
719	791	307
720	792	306
721	793	305
722	795	304
723	796	303
724	797	302
725	799	301
726	800	300
727	801	299
728	802	298
729	803	297
730	804	296
731	806	295
732	807	293
733	808	292
734	809	291
735	810	290
736	811	289
737	812	288
738	813	287
739	814	286
740	816	285
741	817	284
742	818	283
743	819	282
744	820	280
745	821	279
746	822	278
747	823	277
748	824	276
749	825	275
750	826	274
751	827	273
752	828	271
753	830	270
754	831	269
755	832	268
756	833	267
757	834	266
758	835	265
759	836	264
760	837	263
761	838	262
762	840	260
763	841	259
764	842	258
765	843	257
766	844	256
767	845	255
768	846	254
769	848	253
770	849	252
771	850	251
772	851	250
773	852	249
774	854	248
775	855	246
776	856	245
777	858	244
778	859	243
779	860	242
780	861	241
781	862	240
782	863	239
783	865	238
784	866	237
785	867	236
786	868	235
787	869	233
788	870	232
789	871	231
790	872	230
791	873	229
792	874	228
793	876	227
794	877	226
795	878	225
796	879	223
797	880	222
798	881	221
799	882	220
800	883	219
801	884	218
802	885	217
803	886	216
804	888	215
805	889	214
806	890	212
807	891	211
808	892	210
809	893	209
810	894	208
811	895	207
812	896	206
813	897	205
814	898	204
815	900	202
816	901	201
817	902	200
818	903	199
819	904	198
820	905	197
821	907	196
822	908	195
823	909	194
824	910	193
825	911	191
826	912	190
827	913	189
828	914	188
829	915	187
830	917	186
831	918	185
832	919	184
833	920	183
834	921	182
835	922	181
836	923	179
837	924	178
838	925	177
839	927	176
840	928	175
841	929	174
842	930	173
843	931	172
844	932	171
845	934	170
846	935	168
847	936	167
848	937	166
849	938	165
850	940	164
851	941	163
852	942	162
853	943	161
854	944	160
855	945	159
856	946	158
857	948	156
858	949	155
859	950	154
860	951	153
861	952	152
862	954	151
863	955	150
864	956	149
865	957	148
866	958	147
867	959	145
868	960	144
869	961	143
870	962	142
871	963	141
872	964	140
873	965	139
874	967	138
875	968	137
876	969	135
877	970	134
878	971	133
879	972	132
880	973	131
881	975	130
882	976	129
883	977	128
884	978	127
885	979	126
886	980	124
887	981	123
888	982	122
889	984	121
890	984	120
891	986	119
892	987	118
893	988	117
894	989	116
895	990	115
896	992	113
897	993	112
898	994	111
899	995	110
900	996	109
901	998	108
902	998	107
903	1000	106
904	1001	105
905	1002	103
906	1003	102
907	1004	101
908	1005	100
909	1006	99
910	1007	98
911	1008	97
912	1009	96
913	1010	95
914	1012	94
915	1013	92
916	1014	91
917	1015	90
918	1016	89
919	1017	88
920	1018	87
921	1019	86
922	1021	85
923	1022	84
924	1023	82
925	1024	81
926	1025	80
927	1026	79
928	1027	78
929	1029	77
930	1030	76
931	1031	75
932	1032	74
933	1033	73
934	1034	71
935	1035	70
936	1036	69
937	1038	68
938	1039	67
939	1040	66
940	1041	65
941	1042	64
942	1043	63
943	1044	61
944	1045	60
945	1046	59
946	1048	58
947	1049	57
948	1050	56
949	1051	55
950	1052	54
951	1053	53
952	1054	52
953	1055	50
954	1057	49
955	1058	48
956	1059	47
957	1060	46
958	1061	45
959	1062	44
960	1063	43
961	1064	42
962	1065	40
963	1067	39
964	1068	38
965	1069	37
966	1070	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1075	30
972	1076	29
973	1078	28
974	1079	27
975	1080	26
976	1081	25
977	1082	24
978	1083	23
979	1084	22
980	1085	21
981	1086	19
982	1087	18
983	1089	17
984	1090	16
985	1091	15
986	1092	14
987	1094	13
988	1095	12
989	1096	11
990	1097	9
991	1098	8
992	1099	7
993	1100	6
994	1101	5
995	1102	4
996	1103	3
997	1104	2
998	1105	1
999	1107	0
